nbhd_code,nbh_current_rate,major_class_code,nbhd_3,triad_name,nbh_final_tax_to_dist,nbh_tif_rev,nbh_nonTIF_EAV_post_exemps,nbh_TIF_increment_EAV,nbh_exe_and_abates_frombills,Total_EAV,TC_MC_PC,TC_MC_AV,TC_MC_EAV,TC_MC_res_exe,nbh_mc_exe_homeowner,nbh_mc_exe_senior,nbh_mc_exe_freeze,nbh_mc_exe_longtime_homeowner,nbh_mc_exe_disabled,nbh_mc_exe_vet_returning,nbh_mc_exe_vet_dis_lt50,nbh_mc_exe_vet_dis_50_69,nbh_mc_exe_vet_dis_ge70,nbh_mc_exe_abate,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp
22030,0.10237,1,030,North,59503.77,7358.91,581261.7954478851,71885.41564911595,0,653147.2110970011,7,217520,653147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22030,0.10236999999999999,2,030,North,5836425.26,6487.04,57013043.469766535,63368.565009280064,14826095.746946184,71902507.781722,1177,23945951,71902508,14826096,9600990,2664000,2513481,0,42000,0,625,5000,0,0,0,966,336,158,0,21,0,2,0
22030,0.10237,5A,030,North,2237093.9,143829.61,21853022.36983491,1404997.6555631533,0,23258020.025398064,33,7745702,23258021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22030,0.10237,5B,030,North,47971.950000000004,5623.65,468613.3632900264,54934.55113802871,0,523547.9144280551,2,174359,523548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22023,0.10237,1,023,North,31268.97,0,305450.5226140471,0,0,305450.5226140471,15,101725,305450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22023,0.10236999999999999,2,023,North,9260330.29,819.48,90459414.76995213,8005.07961316792,19040992.675005753,109508412.52457105,1641,36469980,109508415,19040993,13010000,3121626,2861367,0,38000,0,0,10000,0,0,1,1311,395,163,0,19,0,2,0
22023,0.10237,3,023,North,164588.88999999998,0,1607784.409494969,0,0,1607784.409494969,16,535446,1607785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22023,0.09968576584203591,5A,023,North,1209769.8,92409.66,12135832.932427142,902702.5495750709,0,13038535.482002212,42,4342271,13038536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22023,0.10237,5B,023,North,2188116.76,0,21374589.82123669,0,0,21374589.82123669,20,7118456,21374590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22023,0.10237,6B,023,North,2220815.94,0,21694011.33144476,0,0,21694011.33144476,2,7224835,21694012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22023,0.10237,9,023,North,77152.16,0,753659.8612874866,0,0,753659.8612874866,1,250994,753660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22022,0.10190761071223613,1,022,North,5025.18,0,49311.135496935196,0,0,49311.135496935196,7,16422,49311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22022,0.10215838825549235,2,022,North,2553556.02,0,24996048.426426824,0,6120268.896519199,31116317.322946023,388,10362778,31116315,6120269,3390000,1080000,1636269,0,14000,0,0,0,0,0,0,339,135,73,0,7,0,0,0
22022,0.0974402042883415,5A,022,North,11199.76,0,114939.8247037545,0,0,114939.8247037545,2,38279,114940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22010,0.10237,1,010,North,555.16,0,5423.073165966592,0,0,5423.073165966592,3,1806,5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22010,0.10237,2,010,North,4144377.16,0,40484293.83608479,0,8360999.857293319,48845293.693378106,546,16267125,48845293,8361000,4780000,1800000,1749000,0,32000,0,0,0,0,0,0,481,226,90,0,16,0,0,0
22010,0.10237,3,010,North,64003.770000000004,0,625219.9863241185,0,0,625219.9863241185,2,208219,625220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22010,0.10225285566213088,5A,010,North,551035.37,0,5388948.469280499,0,0,5388948.469280499,11,1794701,5388949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21999,0.13909000000000002,5A,999,South,1809.29,0,13008.052340211372,0,0,13008.052340211372,1,4332,13008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
